Latitude,Count
13.73039,12
13.73040,10
13.73041,5
13.73042,2
13.73043,2
13.73044,9
13.73045,2
13.73046,2
13.73047,0
13.73048,4
Longitude,Count
100.78082,4
100.78084,3
100.78085,1
100.78087,2
100.78088,8
100.78090,6
100.78091,8
100.78093,8
100.78094,6
100.78096,2
