Latitude,Count
13.73039,6
13.73040,12
13.73041,7
13.73042,4
13.73043,2
13.73044,4
13.73045,7
13.73046,2
13.73047,0
13.73048,4
Longitude,Count
100.78082,4
100.78084,3
100.78086,1
100.78088,5
100.78090,6
100.78092,10
100.78094,4
100.78096,2
